Venue_code,Geo Point,Geo Shape,Nom_site,Nom arrêt
AQC,"48.9247330031411, 2.35480087174455","{""coordinates"": [2.35480087174455, 48.9247330031411], ""type"": ""Point""}",Centre Aquatique,Centre Aquatique (AQC) - PSH-DEPOSE-MIN
AQC,"48.9254869003265, 2.35266409962573","{""coordinates"": [2.35266409962573, 48.9254869003265], ""type"": ""Point""}",Centre Aquatique,Centre Aquatique (AQC) - PFR-navettes
AQC,"48.9248749999261, 2.35484000000329","{""coordinates"": [2.35484000000329, 48.9248749999261], ""type"": ""Point""}",Centre Aquatique,Centre Aquatique (AQC) - PSH-TAXI
AQC,"48.9247111299972, 2.35452597592943","{""coordinates"": [2.35452597592943, 48.9247111299972], ""type"": ""Point""}",Centre Aquatique,Centre Aquatique (AQC) - PFR-PARKING
BCY,"48.8384185872089, 2.38163436169814","{""coordinates"": [2.38163436169814, 48.8384185872089], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PFR-navettes
BCY,"48.8366074010126, 2.38371346391422","{""coordinates"": [2.38371346391422, 48.8366074010126], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PFR-PARKING
BCY,"48.8368029631505, 2.38428692413708","{""coordinates"": [2.38428692413708, 48.8368029631505], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PFR-PARKING
BCY,"48.8381659002792, 2.38198160996278","{""coordinates"": [2.38198160996278, 48.8381659002792], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PMR-TAXI
BCY,"48.8381659002792, 2.38198160996278","{""coordinates"": [2.38198160996278, 48.8381659002792], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PSH-TAXI
BCY,"48.8368029631505, 2.38428692413708","{""coordinates"": [2.38428692413708, 48.8368029631505], ""type"": ""Point""}",Arena Bercy,Arena Bercy (BCY) - PMR-Parking
BOR,"44.8974112009775, -0.566458920631451","{""coordinates"": [-0.566458920631451, 44.8974112009775], ""type"": ""Point""}",Stade de Bordeaux,Stade de Bordeaux (BOR) - PFR-PARKING
BOR,"44.8993367027019, -0.561806165787637","{""coordinates"": [-0.561806165787637, 44.8993367027019], ""type"": ""Point""}",Stade de Bordeaux,Stade de Bordeaux (BOR) - PSH-TAXI
BOR,"44.8991520182066, -0.561795137170871","{""coordinates"": [-0.561795137170871, 44.8991520182066], ""type"": ""Point""}",Stade de Bordeaux,Stade de Bordeaux (BOR) - PFR-PARKING
BOR,"44.8991210299588, -0.561738653800775","{""coordinates"": [-0.561738653800775, 44.8991210299588], ""type"": ""Point""}",Stade de Bordeaux,Stade de Bordeaux (BOR) - PSH-DEPOSE-MIN
BOR,"44.8992447652286, -0.561801899688354","{""coordinates"": [-0.561801899688354, 44.8992447652286], ""type"": ""Point""}",Stade de Bordeaux,Stade de Bordeaux (BOR) - PFR-navettes
CDM,"48.8504242988135, 2.30525200008824","{""coordinates"": [2.30525200008824, 48.8504242988135], ""type"": ""Point""}",Arena Champ-de-Mars,
CDM,"48.8501319799975, 2.30106178598758","{""coordinates"": [2.30106178598758, 48.8501319799975], ""type"": ""Point""}",Eiffel Champ-de-Mars,Arena Champ-de-Mars (CDM) ECM - PSH-DEPOSE-MIN
CDM,"48.8503683142108, 2.30102739398694","{""coordinates"": [2.30102739398694, 48.8503683142108], ""type"": ""Point""}",Eiffel Champ-de-Mars,Arena Champ-de-Mars (CDM) EIF - PFR-PARKING
CDM,"48.850484899962, 2.30232432230533","{""coordinates"": [2.30232432230533, 48.850484899962], ""type"": ""Point""}",Arena Champ-de-Mars,Arena Champ-de-Mars (CDM) - PFR-navettes
CDM,"48.850640313861, 2.30183988818811","{""coordinates"": [2.30183988818811, 48.850640313861], ""type"": ""Point""}",Eiffel Champ-de-Mars,Eiffel Champ-de-Mars (ECM) EIF CDM - PSH Taxi
CPL,"48.8991376740722, 2.36624549594075","{""coordinates"": [2.36624549594075, 48.8991376740722], ""type"": ""Point""}",Arena Porte de La Chapelle,Arena Porte de La Chapelle (CPL) - PFR-PARKING
CPL,"48.8993139193684, 2.36595847522431","{""coordinates"": [2.36595847522431, 48.8993139193684], ""type"": ""Point""}",Arena Porte de La Chapelle,Arena Porte de la Chapelle (CPL) - PMR-dépose-min
CPL,"48.8978090001154, 2.35952900007219","{""coordinates"": [2.35952900007219, 48.8978090001154], ""type"": ""Point""}",Arena Porte de la chapelle,Arena Porte de La Chapelle (CPL) - PSH-TAXI
CPL,"48.8991376740722, 2.36624549594075","{""coordinates"": [2.36624549594075, 48.8991376740722], ""type"": ""Point""}",Arena Porte de La Chapelle,Arena Porte de La Chapelle (CPL) - PMR-Parking
CPL,"48.8989945611212, 2.36558882297646","{""coordinates"": [2.36558882297646, 48.8989945611212], ""type"": ""Point""}",Arena Porte de La Chapelle,Arena Porte de La Chapelle (CPL) - PFR-navettes
CSB,"48.9069152637405, 2.53549838065872","{""coordinates"": [2.53549838065872, 48.9069152637405], ""type"": ""Point""}",Clichy-sous-Bois,
CTX,"46.8151905222285, 1.75471564330765","{""coordinates"": [1.75471564330765, 46.8151905222285], ""type"": ""Point""}",Tir Chateauroux - Village,Centre National de Tir de Châteauroux (CTX) - PSH-DEPOSE-MIN
CTX,"46.8192868830972, 1.7573732479903","{""coordinates"": [1.7573732479903, 46.8192868830972], ""type"": ""Point""}",Tir Chateauroux - Village,Centre National de Tir de Châteauroux (CTX) - PSH-DEPOSE-MIN
CTX,"46.8132086717292, 1.75823470090672","{""coordinates"": [1.75823470090672, 46.8132086717292], ""type"": ""Point""}",Tir Chateauroux - Village,Centre National de Tir de Châteauroux (CTX) - PSH-DEPOSE-MIN
DEF,"48.8957471490236, 2.22421043822239","{""coordinates"": [2.22421043822239, 48.8957471490236], ""type"": ""Point""}",Paris La Defense Arena,Paris La Défense Arena (DEF) - PMR-TAXI
DEF,"48.8941057625116, 2.22698475561999","{""coordinates"": [2.22698475561999, 48.8941057625116], ""type"": ""Point""}",Paris La Defense Arena,Paris La Défense Arena (DEF) - PMR-dépose-min
DEF,"48.8944304460963, 2.22590677638072","{""coordinates"": [2.22590677638072, 48.8944304460963], ""type"": ""Point""}",Paris La Defense Arena,Paris La Défense Arena (DEF) - PMR-Parking
DEF,"48.8949207990393, 2.22669849038671","{""coordinates"": [2.22669849038671, 48.8949207990393], ""type"": ""Point""}",Paris La Defense Arena,Paris La Défense Arena (DEF) - PFR-navettes
DEF,"48.8957350001911, 2.2243400004392","{""coordinates"": [2.2243400004392, 48.8957350001911], ""type"": ""Point""}",Paris La Defense Arena,Paris La Défense Arena (DEF) - PSH-TAXI
DEF,"48.8943729999686, 2.2260729997426","{""coordinates"": [2.2260729997426, 48.8943729999686], ""type"": ""Point""}",Paris La Defense Arena,Paris La Défense Arena (DEF) - PSH-TAXI
EIF,"48.8549043749656, 2.29587838462734","{""coordinates"": [2.29587838462734, 48.8549043749656], ""type"": ""Point""}",Eiffel Champ-de-Mars,Stade Tour Eiffel (EIF) ECM - PFR-PARKING
EIF,"48.8554701471699, 2.29431761931336","{""coordinates"": [2.29431761931336, 48.8554701471699], ""type"": ""Point""}",Eiffel,Eiffel (Eif) - PFR-navettes
EIF,"48.8547788360157, 2.29570024601156","{""coordinates"": [2.29570024601156, 48.8547788360157], ""type"": ""Point""}",Stade Tour Eiffel,Stade Tour Eiffel (EIF) - PSH-DEPOSE-MIN
EIF,"48.8542901942516, 2.28929383690101","{""coordinates"": [2.28929383690101, 48.8542901942516], ""type"": ""Point""}",Stade Tour Eiffel,Stade Tour Eiffel (EIF) ECM - PSH-TAXI
ELA,"48.7916553329234, 1.96566345875902","{""coordinates"": [1.96566345875902, 48.7916553329234], ""type"": ""Point""}",Colline d'Elancourt,Colline d'Elancourt (ELA) - PSH-DEPOSE-MIN
ELA,"48.7909020582603, 1.96661321337293","{""coordinates"": [1.96661321337293, 48.7909020582603], ""type"": ""Point""}",Colline d'Elancourt,Colline d'Elancourt (ELA) - PFR-PARKING
ELA,"48.7916553329234, 1.96566345875902","{""coordinates"": [1.96566345875902, 48.7916553329234], ""type"": ""Point""}",Colline d'Elancourt,Colline d'Elancourt (ELA) - PMR-dépose-min
ELA,"48.7914471529375, 1.96550847332136","{""coordinates"": [1.96550847332136, 48.7914471529375], ""type"": ""Point""}",Colline d'Elancourt,Colline d'Elancourt (ELA) - PFR-navettes
ELA,"48.7916829999979, 1.96472899975945","{""coordinates"": [1.96472899975945, 48.7916829999979], ""type"": ""Point""}",Colline d'Elancourt,Colline d'Elancourt (ELA) - PSH TAXI
ELA,"48.7909020582603, 1.96661321337293","{""coordinates"": [1.96661321337293, 48.7909020582603], ""type"": ""Point""}",Colline d'Elancourt,Colline d'Elancourt (ELA) - PMR-Parking
GBE,"48.8387581405776, 2.38242218860645","{""coordinates"": [2.38242218860645, 48.8387581405776], ""type"": ""Point""}",GARE DE PARIS BERCY Sortie Parking,GARE DE PARIS BERCY Sortie Parking Gare PFR-navettes
GPA,"48.8428856448987, 2.3658886273877","{""coordinates"": [2.3658886273877, 48.8428856448987], ""type"": ""Point""}",PARIS AUSTERLITZ Sortie Cour Seine,PARIS AUSTERLITZ Sortie Cour Seine PFR-navettes
GRX,"48.8696340001815, 2.31051899956717","{""coordinates"": [2.31051899956717, 48.8696340001815], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PSH-TAXI
GRX,"48.8697655289268, 2.31130600280779","{""coordinates"": [2.31130600280779, 48.8697655289268], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PFR-navettes
GRX,"48.8701171071066, 2.31208256269581","{""coordinates"": [2.31208256269581, 48.8701171071066], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PSH-DEPOSE-MIN
GRX,"48.8695691672167, 2.31146151016662","{""coordinates"": [2.31146151016662, 48.8695691672167], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PFR-PARKING
GRX,"48.8695691672167, 2.31146151016662","{""coordinates"": [2.31146151016662, 48.8695691672167], ""type"": ""Point""}",Grand Palais-Pont Alexandre III,Grand Palais-Pont Alexandre III (GRX) - PMR-Parking
INV,"48.8616386065927, 2.30965356225195","{""coordinates"": [2.30965356225195, 48.8616386065927], ""type"": ""Point""}",Invalides,Invalides (INV) - PFR-PARKING
INV,"48.862097413884, 2.30932743464844","{""coordinates"": [2.30932743464844, 48.862097413884], ""type"": ""Point""}",Invalides,Invalides (INV) - PFR-navettes
INV,"48.8619445344819, 2.30962387996546","{""coordinates"": [2.30962387996546, 48.8619445344819], ""type"": ""Point""}",Invalides,Invalides (INV) - PSH-DEPOSE-MIN
INV,"48.8599160000914, 2.30966099977469","{""coordinates"": [2.30966099977469, 48.8599160000914], ""type"": ""Point""}",Invalides,Invalides (INV) - PSH-TAXI
INV,"48.8618769999124, 2.30970400033068","{""coordinates"": [2.30970400033068, 48.8618769999124], ""type"": ""Point""}",Invalides,Invalides (INV) - PSH-TAXI
INV,"48.8616386065927, 2.30965356225195","{""coordinates"": [2.30965356225195, 48.8616386065927], ""type"": ""Point""}",Invalides,Invalides (INV) - PMR-Parking
LAZ,"48.8769480015337, 2.32689112945171","{""coordinates"": [2.32689112945171, 48.8769480015337], ""type"": ""Point""}",Paris St-Lazarre rue d'Amsterdam,PARIS SAINT-LAZARE Sortie rue d'Amsterdam PFR-navettes
LBO,"48.9347179998689, 2.41900899996096","{""coordinates"": [2.41900899996096, 48.9347179998689], ""type"": ""Point""}",Site d'escalade du Bourget,Site d'escalade du Bourget (LBO) - PSH-TAXI
LBO,"48.9348057996062, 2.41903719628108","{""coordinates"": [2.41903719628108, 48.9348057996062], ""type"": ""Point""}",Site d'escalade du Bourget,Site d'escalade du Bourget (LBO) - PMR-TAXI
LBO,"48.9349840069338, 2.41795498507855","{""coordinates"": [2.41795498507855, 48.9349840069338], ""type"": ""Point""}",Site d'escalade du Bourget,Site d'escalade du Bourget (LBO) - PFR-navettes
LBO,"48.9351061190621, 2.41924986433976","{""coordinates"": [2.41924986433976, 48.9351061190621], ""type"": ""Point""}",Site d'escalade du Bourget,Site d'escalade du Bourget (LBO) - PFR-PARKING
LCO,"48.8688851651915, 2.32351024206833","{""coordinates"": [2.32351024206833, 48.8688851651915], ""type"": ""Point""}",La Concorde,La Concorde (LCO) - PFR-navettes
LCO,"48.8687573585702, 2.32362129000708","{""coordinates"": [2.32362129000708, 48.8687573585702], ""type"": ""Point""}",La Concorde,La Concorde (LCO) - PMR-Parking
LCO,"48.8688311387893, 2.32367493380262","{""coordinates"": [2.32367493380262, 48.8688311387893], ""type"": ""Point""}",La Concorde,La Concorde (LCO) - PFR-PARKING
LCO,"48.8689489998356, 2.32365099998849","{""coordinates"": [2.32365099998849, 48.8689489998356], ""type"": ""Point""}",La Concorde,La Concorde (LCO) - PMR-TAXI
LCS,"48.9403051460581, 2.4047415653143","{""coordinates"": [2.4047415653143, 48.9403051460581], ""type"": ""Point""}",La Courneuve,La Courneuve (lcs) - PFR-PARKING
LCS,"48.940726909021, 2.40441864316288","{""coordinates"": [2.40441864316288, 48.940726909021], ""type"": ""Point""}",La Courneuve,La Courneuve (LCS) - PSH-TAXI
LCS,"48.9403533967851, 2.40442526275168","{""coordinates"": [2.40442526275168, 48.9403533967851], ""type"": ""Point""}",La Courneuve,
LCS,"48.9400484881622, 2.40532667003701","{""coordinates"": [2.40532667003701, 48.9400484881622], ""type"": ""Point""}",La Courneuve,La Courneuve (LCS) - PFR-navettes
LGN,"48.7562073669606, 2.07347467595449","{""coordinates"": [2.07347467595449, 48.7562073669606], ""type"": ""Point""}",Le Golf National,Le Golf National (LGN) - PMR-dépose-min
LGN,"48.7561437609605, 2.07654990238979","{""coordinates"": [2.07654990238979, 48.7561437609605], ""type"": ""Point""}",Le Golf National,Le Golf National (LGN) - PFR-navettes
LGN,"48.7561646797946, 2.07374008500179","{""coordinates"": [2.07374008500179, 48.7561646797946], ""type"": ""Point""}",Le Golf National,Le Golf National (LGN) - PMR-Parking
LGN,"48.7560775942653, 2.07641673614032","{""coordinates"": [2.07641673614032, 48.7560775942653], ""type"": ""Point""}",Le Golf National,Le Golf National (LGN) - PFR-PARKING
LGN,"48.7562170001281, 2.07038600030971","{""coordinates"": [2.07038600030971, 48.7562170001281], ""type"": ""Point""}",Le Golf National,Le Golf National (LGN) - PSH-TAXI
LIL,"50.6099708104673, 3.13015394354513","{""coordinates"": [3.13015394354513, 50.6099708104673], ""type"": ""Point""}",Stade Pierre Mauroy,
LVI,"48.8895111437959, 2.38973982818098","{""coordinates"": [2.38973982818098, 48.8895111437959], ""type"": ""Point""}",Club France - La Villette,Club France - La Villette PFR-navettes
LYO,"45.7656563867661, 4.97824217619838","{""coordinates"": [4.97824217619838, 45.7656563867661], ""type"": ""Point""}",Stade de Lyon,Stade de Lyon (LYO) - PSH-TAXI
LYO,"45.7657431979058, 4.97827227694692","{""coordinates"": [4.97827227694692, 45.7657431979058], ""type"": ""Point""}",Stade de Lyon,Stade de Lyon (LYO) - PFR-navettes
LYO,"45.7658791407583, 4.97833315397708","{""coordinates"": [4.97833315397708, 45.7658791407583], ""type"": ""Point""}",Stade de Lyon,Stade de Lyon (LYO) - PSH-DEPOSE-MIN
MAM,"43.2612646828594, 5.3746220561777","{""coordinates"": [5.3746220561777, 43.2612646828594], ""type"": ""Point""}",Marina de Marseille,Marina de Marseille (MAM) - PFR-navettes
MAM,"43.2611774817992, 5.3746528701886","{""coordinates"": [5.3746528701886, 43.2611774817992], ""type"": ""Point""}",Marina de Marseille,Marina de Marseille (MAM) - PFR-PARKING
MAM,"43.2613423811055, 5.37460240912415","{""coordinates"": [5.37460240912415, 43.2613423811055], ""type"": ""Point""}",Marina de Marseille,Marina de Marseille (MAM) - PSH-DEPOSE-MIN
MRS,"43.2697122992371, 5.40003031110094","{""coordinates"": [5.40003031110094, 43.2697122992371], ""type"": ""Point""}",Stade de Marseille,Stade de Marseille (MRS) - PSH-TAXI
MRS,"43.2697252391966, 5.40013438362157","{""coordinates"": [5.40013438362157, 43.2697252391966], ""type"": ""Point""}",Stade de Marseille,Stade de Marseille (MRS) - PSH-DEPOSE-MIN
MRS,"43.2697376022418, 5.40006851914492","{""coordinates"": [5.40006851914492, 43.2697376022418], ""type"": ""Point""}",Stade de Marseille,Stade de Marseille (MRS) - PFR-navettes
MRS,"43.2697467033148, 5.40019101970527","{""coordinates"": [5.40019101970527, 43.2697467033148], ""type"": ""Point""}",Stade de Marseille,Stade de Marseille (MRS) - PFR-navettes
NAN,"47.2550989681329, -1.5236751155733","{""coordinates"": [-1.5236751155733, 47.2550989681329], ""type"": ""Point""}",Stade de la Beaujoire,Stade de la Beaujoire (NAN) - PSH-DEPOSE-MIN
